transcript_id	intModel	gene_id	gene_symbol	bicor	abs_bicor	direction	correlation_method
HERVH_12p11.22b	HERVH-int	ENSG00000257743.8	MGAM2	0.899722678681466	0.899722678681466	positive	bicor
ERVLE_5q31.3f	ERVL-E-int	ENSG00000148482.11	SLC39A12	0.899721856506927	0.899721856506927	positive	bicor
HERVH_12p12.3b	HERVH-int	ENSG00000157423.17	HYDIN	0.899721710739136	0.899721710739136	positive	bicor
HUERSP3_3p12.1	HUERS-P3-int	ENSG00000176294.4	OR4N2	0.899721269501671	0.899721269501671	positive	bicor
HERVL_14q21.1e	HERVL-int	ENSG00000162779.21	AXDND1	0.899720931778095	0.899720931778095	positive	bicor
HERVH_4q26b	HERVH-int	ENSG00000171495.16	MROH2B	0.899720741571441	0.899720741571441	positive	bicor
HERVH_13q21.31	HERVH-int	ENSG00000183914.14	DNAH2	0.899720643754318	0.899720643754318	positive	bicor
HERVH_3p13b	HERVH-int	ENSG00000206557.5	TRIM71	0.899720642413531	0.899720642413531	positive	bicor
HML6_1p21.1a	HERVK3-int	ENSG00000176406.22	RIMS2	0.899720486556474	0.899720486556474	positive	bicor
ERV316A3_5p13.3b	ERV3-16A3_I-int	ENSG00000173077.14	DEC1	0.899720401312312	0.899720401312312	positive	bicor
ERVLB4_10p13c	ERVL-B4-int	ENSG00000106536.19	POU6F2	0.899718905746971	0.899718905746971	positive	bicor
HERVH_6p22.1	HERVH-int	ENSG00000136696.10	IL36B	0.899718730430927	0.899718730430927	positive	bicor
ERVLB4_4q28.1c	ERVL-B4-int	ENSG00000173077.14	DEC1	0.899718610505298	0.899718610505298	positive	bicor
MER4B_11p15.4	MER4B-int	ENSG00000139151.14	PLCZ1	0.899718608743598	0.899718608743598	positive	bicor
HERVP71A_2q32.3	HERVP71A-int	ENSG00000092853.13	CLSPN	0.899718294182862	0.899718294182862	positive	bicor
HERVH_2q32.1d	HERVH-int	ENSG00000141946.1	ZIM3	0.899718191162718	0.899718191162718	positive	bicor
HERVH_10q25.1a	HERVH-int	ENSG00000050438.16	SLC4A8	0.899717454389413	0.899717454389413	positive	bicor
ERVLE_4p12c	ERVL-E-int	ENSG00000157680.15	DGKI	0.899717452766324	0.899717452766324	positive	bicor
ERVLB4_4q26i	ERVL-B4-int	ENSG00000178690.2	DYNAP	0.899716813185567	0.899716813185567	positive	bicor
ERVLB4_10q21.3d	ERVL-B4-int	ENSG00000124812.14	CRISP1	0.899716775549081	0.899716775549081	positive	bicor
HERVH_10q22.3a	HERVH-int	ENSG00000136696.10	IL36B	0.899715422047521	0.899715422047521	positive	bicor
HERVH_3p11.1b	HERVH-int	ENSG00000152822.13	GRM1	0.899714857685727	0.899714857685727	positive	bicor
HERVL74_4q32.1	HERVL74-int	ENSG00000197299.10	BLM	0.899714852431472	0.899714852431472	positive	bicor
HERVH_8q24.22b	HERVH-int	ENSG00000081479.12	LRP2	0.899714414486137	0.899714414486137	positive	bicor
HERVH_10q21.1c	HERVH-int	ENSG00000157423.17	HYDIN	0.899714283926925	0.899714283926925	positive	bicor
ERV316A3_4q32.1f	ERV3-16A3_I-int	ENSG00000155719.16	OTOA	0.899714278295778	0.899714278295778	positive	bicor
MER4B_20p11.21	MER4B-int	ENSG00000139144.9	PIK3C2G	0.899714209018709	0.899714209018709	positive	bicor
ERV316A3_5p15.1d	ERV3-16A3_I-int	ENSG00000141431.10	ASXL3	0.89971379308235	0.89971379308235	positive	bicor
ERVLE_2p12e	ERVL-E-int	ENSG00000112742.9	TTK	0.899713577054958	0.899713577054958	positive	bicor
HERVL_6p12.3d	HERVL-int	ENSG00000122012.13	SV2C	0.899713280821943	0.899713280821943	positive	bicor
HERVP71A_2q32.3	HERVP71A-int	ENSG00000143355.15	LHX9	0.899712774941273	0.899712774941273	positive	bicor
HERVKC4_10p11.1	HERVKC4-int	ENSG00000181355.20	OFCC1	0.899712718050597	0.899712718050597	positive	bicor
HERVH_3q26.32c	HERVH-int	ENSG00000257335.8	MGAM	0.899712716225096	0.899712716225096	positive	bicor
HERVH_2q35c	HERVH-int	ENSG00000186094.16	AGBL4	0.8997125874151	0.8997125874151	positive	bicor
ERVL_21q21.1c	ERVL-int	ENSG00000164199.16	ADGRV1	0.899712546648739	0.899712546648739	positive	bicor
ERVLB4_7q31.1a	ERVL-B4-int	ENSG00000206026.7	SMIM21	0.899712059713703	0.899712059713703	positive	bicor
HERVH_4q26a	HERVH-int	ENSG00000156687.10	UNC5D	0.899709550926364	0.899709550926364	positive	bicor
HERVH_4p15.1c	HERVH-int	ENSG00000130477.15	UNC13A	0.899709497098226	0.899709497098226	positive	bicor
HERVL_10q11.23	HERVL-int	ENSG00000179869.14	ABCA13	0.899708695901962	0.899708695901962	positive	bicor
MER4B_3p24.3	MER4B-int	ENSG00000134538.2	SLCO1B1	0.899708525085486	0.899708525085486	positive	bicor
HERVH_5q23.2a	HERVH-int	ENSG00000106536.19	POU6F2	0.899708054832139	0.899708054832139	positive	bicor
HERVL_12q21.31i	HERVL-int	ENSG00000165970.11	SLC6A5	0.899707787697774	0.899707787697774	positive	bicor
ERVLE_1q41d	ERVL-E-int	ENSG00000136531.15	SCN2A	0.899707527564633	0.899707527564633	positive	bicor
HERVK11D_6q22.31	HERVK11D-int	ENSG00000164756.12	SLC30A8	0.899706722863742	0.899706722863742	positive	bicor
ERVLE_4p15.1e	ERVL-E-int	ENSG00000171804.10	WDR87	0.899706572047222	0.899706572047222	positive	bicor
HERVL_7p11.2b	HERVL-int	ENSG00000139144.9	PIK3C2G	0.899706025053224	0.899706025053224	positive	bicor
HERVP71A_13q31.3	HERVP71A-int	ENSG00000166557.12	TMED3	0.899705609418585	0.899705609418585	positive	bicor
HERVIP10F_20p13	HERVIP10F-int	ENSG00000151490.13	PTPRO	0.899704770139712	0.899704770139712	positive	bicor
ERVLE_8p12d	ERVL-E-int	ENSG00000273079.5	GRIN2B	0.899703771791181	0.899703771791181	positive	bicor
ERVLB4_4q13.1h	ERVL-B4-int	ENSG00000081800.8	SLC13A1	0.899702417914833	0.899702417914833	positive	bicor
HERVL40_12q21.31	HERVL40-int	ENSG00000109158.10	GABRA4	0.899702360461041	0.899702360461041	positive	bicor
HERVH_8q23.3a	HERVH-int	ENSG00000006747.14	SCIN	0.899702215263639	0.899702215263639	positive	bicor
MER4B_8q21.3c	MER4B-int	ENSG00000152208.12	GRID2	0.8997021615375	0.8997021615375	positive	bicor
ERVLB4_3p12.2c	ERVL-B4-int	ENSG00000174469.19	CNTNAP2	0.899701550035567	0.899701550035567	positive	bicor
MER4B_5p13.1d	MER4B-int	ENSG00000183117.18	CSMD1	0.899700990301342	0.899700990301342	positive	bicor
ERVLE_7q31.32e	ERVL-E-int	ENSG00000163046.15	ANKRD30BL	0.899700373133183	0.899700373133183	positive	bicor
HERVH_3p24.3b	HERVH-int	ENSG00000169436.16	COL22A1	0.899699594549463	0.899699594549463	positive	bicor
ERVL_Xq21.1c	ERVL-int	ENSG00000198765.11	SYCP1	0.89969957057672	0.89969957057672	positive	bicor
HERVL_8q24.22	HERVL-int	ENSG00000036828.15	CASR	0.899699406430839	0.899699406430839	positive	bicor
ERVLB4_3p12.2c	ERVL-B4-int	ENSG00000144481.16	TRPM8	0.899699367188359	0.899699367188359	positive	bicor
HERVH_3q13.12a	HERVH-int	ENSG00000144406.18	UNC80	0.899699184499661	0.899699184499661	positive	bicor
HERVH_7p22.1b	HERVH-int	ENSG00000273079.5	GRIN2B	0.899698456039866	0.899698456039866	positive	bicor
HERVIP10F_5p12c	HERVIP10F-int	ENSG00000174469.19	CNTNAP2	0.89969785787754	0.89969785787754	positive	bicor
MER4B_6q12b	MER4B-int	ENSG00000138650.8	PCDH10	0.899697094556492	0.899697094556492	positive	bicor
HUERSP3_14q21.1	HUERS-P3-int	ENSG00000081479.12	LRP2	0.899696718172344	0.899696718172344	positive	bicor
ERVLE_10p14b	ERVL-E-int	ENSG00000095110.7	NXPE1	0.899695813011072	0.899695813011072	positive	bicor
ERV316A3_4q25a	ERV3-16A3_I-int	ENSG00000066813.14	ACSM2B	0.899695678629378	0.899695678629378	positive	bicor
HERVH_2q34e	HERVH-int	ENSG00000150275.17	PCDH15	0.899695031274073	0.899695031274073	positive	bicor
MER4B_20p11.21	MER4B-int	ENSG00000124812.14	CRISP1	0.899694612562392	0.899694612562392	positive	bicor
HERVE_12p12.3	HERVE-int	ENSG00000116996.9	ZP4	0.899694200683792	0.899694200683792	positive	bicor
ERVLE_12p13.33	ERVL-E-int	ENSG00000187672.12	ERC2	0.899694106476581	0.899694106476581	positive	bicor
PRIMA4_4q28.2	PRIMA4-int	ENSG00000187123.14	LYPD6	0.899693610515341	0.899693610515341	positive	bicor
