"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000109061.10","grey","ENSG00000109061","MYH1",FALSE
"ENSG00000100292.18","black","ENSG00000100292","HMOX1",FALSE
"ENSG00000164418.22","grey60","ENSG00000164418","GRIK2",FALSE
"ENSG00000205362.11","black","ENSG00000205362","MT1A",FALSE
"ENSG00000164588.8","yellow","ENSG00000164588","HCN1",FALSE
"ENSG00000243429.1","yellow","ENSG00000243429","OR7E29P",FALSE
"ENSG00000116771.6","yellow","ENSG00000116771","AGMAT",FALSE
"ENSG00000236345.2","brown","ENSG00000236345","SCAT8",FALSE
"ENSG00000139329.5","turquoise","ENSG00000139329","LUM",FALSE
"ENSG00000142973.15","brown","ENSG00000142973","CYP4B1",FALSE
"ENSG00000159251.8","turquoise","ENSG00000159251","ACTC1",FALSE
"ENSG00000184588.18","lightcyan","ENSG00000184588","PDE4B",FALSE
"ENSG00000286452.1","blue","ENSG00000286452","ENSG00000286452",FALSE
"ENSG00000131095.14","lightyellow","ENSG00000131095","GFAP",FALSE
"ENSG00000108342.13","grey60","ENSG00000108342","CSF3",FALSE
"ENSG00000248514.1","blue","ENSG00000248514","ENSG00000248514",FALSE
"ENSG00000237927.1","brown","ENSG00000237927","ENSG00000237927",FALSE
"ENSG00000109321.11","black","ENSG00000109321","AREG",FALSE
"ENSG00000174407.14","yellow","ENSG00000174407","MIR1-1HG",FALSE
"ENSG00000177752.15","blue","ENSG00000177752","YIPF7",FALSE
"ENSG00000204792.2","grey","ENSG00000204792","LINC01291",FALSE
"ENSG00000225613.2","blue","ENSG00000225613","LINCMD1",FALSE
"ENSG00000138356.14","brown","ENSG00000138356","AOX1",FALSE
"ENSG00000188086.15","blue","ENSG00000188086","PRSS45P",FALSE
"ENSG00000286689.1","blue","ENSG00000286689","ENSG00000286689",FALSE
"ENSG00000215483.12","brown","ENSG00000215483","LINC00598",FALSE
"ENSG00000125414.19","yellow","ENSG00000125414","MYH2",FALSE
"ENSG00000229425.4","red","ENSG00000229425","ENSG00000229425",FALSE
"ENSG00000231170.7","brown","ENSG00000231170","ENSG00000231170",FALSE
"ENSG00000146809.14","blue","ENSG00000146809","ASB15",FALSE
"ENSG00000223749.11","greenyellow","ENSG00000223749","MIR503HG",FALSE
"ENSG00000101892.12","blue","ENSG00000101892","ATP1B4",FALSE
"ENSG00000107518.18","grey","ENSG00000107518","ATRNL1",FALSE
"ENSG00000106483.12","turquoise","ENSG00000106483","SFRP4",FALSE
"ENSG00000176909.12","blue","ENSG00000176909","MAMSTR",FALSE
"ENSG00000149485.19","brown","ENSG00000149485","FADS1",FALSE
"ENSG00000081181.8","grey","ENSG00000081181","ARG2",FALSE
"ENSG00000137825.11","brown","ENSG00000137825","ITPKA",FALSE
"ENSG00000094796.5","blue","ENSG00000094796","KRT31",FALSE
"ENSG00000047662.5","turquoise","ENSG00000047662","FAM184B",FALSE
"ENSG00000283787.2","blue","ENSG00000283787","PRR33",FALSE
"ENSG00000185028.4","blue","ENSG00000185028","LRRC14B",FALSE
"ENSG00000241945.8","grey","ENSG00000241945","PWP2",FALSE
"ENSG00000092054.13","yellow","ENSG00000092054","MYH7",FALSE
"ENSG00000244242.2","brown","ENSG00000244242","IFITM10",FALSE
"ENSG00000163209.15","skyblue","ENSG00000163209","SPRR3",FALSE
"ENSG00000164694.17","blue","ENSG00000164694","FNDC1",FALSE
"ENSG00000159399.10","grey60","ENSG00000159399","HK2",FALSE
"ENSG00000135346.9","grey","ENSG00000135346","CGA",FALSE
"ENSG00000134716.11","blue","ENSG00000134716","CYP2J2",FALSE
"ENSG00000172508.11","blue","ENSG00000172508","CARNS1",FALSE
"ENSG00000172215.6","midnightblue","ENSG00000172215","CXCR6",FALSE
"ENSG00000164530.15","blue","ENSG00000164530","PI16",FALSE
"ENSG00000130957.5","yellow","ENSG00000130957","FBP2",FALSE
"ENSG00000108231.14","blue","ENSG00000108231","LGI1",FALSE
"ENSG00000159173.19","blue","ENSG00000159173","TNNI1",FALSE
"ENSG00000166343.10","blue","ENSG00000166343","MSS51",FALSE
"ENSG00000164398.15","blue","ENSG00000164398","ACSL6",FALSE
"ENSG00000101670.12","black","ENSG00000101670","LIPG",FALSE
"ENSG00000244734.4","midnightblue","ENSG00000244734","HBB",FALSE
"ENSG00000164591.14","blue","ENSG00000164591","MYOZ3",FALSE
"ENSG00000205364.4","black","ENSG00000205364","MT1M",FALSE
"ENSG00000231274.5","grey60","ENSG00000231274","SBK3",FALSE
"ENSG00000135821.19","brown","ENSG00000135821","GLUL",FALSE
"ENSG00000205678.8","blue","ENSG00000205678","TECRL",FALSE
"ENSG00000183873.18","turquoise","ENSG00000183873","SCN5A",FALSE
"ENSG00000175606.11","orange","ENSG00000175606","TMEM70",FALSE
"ENSG00000169715.15","black","ENSG00000169715","MT1E",TRUE
"ENSG00000100362.13","grey","ENSG00000100362","PVALB",FALSE
"ENSG00000173114.13","brown","ENSG00000173114","LRRN3",FALSE
"ENSG00000178882.15","blue","ENSG00000178882","RFLNA",FALSE
"ENSG00000125148.7","black","ENSG00000125148","MT2A",FALSE
"ENSG00000140795.13","blue","ENSG00000140795","MYLK3",FALSE
"ENSG00000119125.17","grey","ENSG00000119125","GDA",FALSE
"ENSG00000089199.10","greenyellow","ENSG00000089199","CHGB",FALSE
"ENSG00000144485.11","brown","ENSG00000144485","HES6",FALSE
"ENSG00000170525.21","brown","ENSG00000170525","PFKFB3",FALSE
"ENSG00000054938.17","blue","ENSG00000054938","CHRDL2",FALSE
"ENSG00000129204.17","blue","ENSG00000129204","USP6",FALSE
"ENSG00000168785.8","brown","ENSG00000168785","TSPAN5",FALSE
"ENSG00000095203.15","brown","ENSG00000095203","EPB41L4B",FALSE
"ENSG00000185559.16","turquoise","ENSG00000185559","DLK1",FALSE
"ENSG00000187889.13","black","ENSG00000187889","FYB2",FALSE
"ENSG00000179564.4","blue","ENSG00000179564","LSMEM2",FALSE
"ENSG00000042832.12","grey","ENSG00000042832","TG",FALSE
"ENSG00000142748.13","brown","ENSG00000142748","FCN3",FALSE
"ENSG00000155367.16","blue","ENSG00000155367","PPM1J",FALSE
"ENSG00000076555.16","brown","ENSG00000076555","ACACB",FALSE
"ENSG00000235162.9","blue","ENSG00000235162","C12orf75",FALSE
"ENSG00000128655.19","blue","ENSG00000128655","PDE11A",FALSE
"ENSG00000120738.8","lightcyan","ENSG00000120738","EGR1",TRUE
"ENSG00000111371.16","brown","ENSG00000111371","SLC38A1",FALSE
"ENSG00000164509.16","blue","ENSG00000164509","IL31RA",FALSE
"ENSG00000264151.6","blue","ENSG00000264151","ENSG00000264151",FALSE
"ENSG00000188536.13","midnightblue","ENSG00000188536","HBA2",FALSE
"ENSG00000134548.11","blue","ENSG00000134548","SPX",FALSE
"ENSG00000184544.12","yellow","ENSG00000184544","DHRS7C",FALSE
"ENSG00000092068.21","brown","ENSG00000092068","SLC7A8",FALSE
"ENSG00000092969.12","blue","ENSG00000092969","TGFB2",FALSE
"ENSG00000134817.12","blue","ENSG00000134817","APLNR",FALSE
"ENSG00000286322.2","blue","ENSG00000286322","ENSG00000286322",FALSE
"ENSG00000139780.8","blue","ENSG00000139780","METTL21C",FALSE
"ENSG00000077274.9","blue","ENSG00000077274","CAPN6",FALSE
"ENSG00000279164.1","blue","ENSG00000279164","ENSG00000279164",FALSE
"ENSG00000196811.13","grey","ENSG00000196811","CHRNG",FALSE
"ENSG00000286677.1","brown","ENSG00000286677","ENSG00000286677",FALSE
"ENSG00000205279.9","blue","ENSG00000205279","CTXN3",FALSE
"ENSG00000198574.6","grey60","ENSG00000198574","SH2D1B",FALSE
"ENSG00000177575.13","cyan","ENSG00000177575","CD163",FALSE
"ENSG00000259675.3","brown","ENSG00000259675","ENSG00000259675",FALSE
"ENSG00000283706.2","blue","ENSG00000283706","PRSS50",FALSE
"ENSG00000096088.16","white","ENSG00000096088","PGC",FALSE
"ENSG00000170417.16","blue","ENSG00000170417","TMEM182",FALSE
"ENSG00000147697.9","yellow","ENSG00000147697","GSDMC",FALSE
"ENSG00000186628.12","blue","ENSG00000186628","FSD2",FALSE
"ENSG00000180730.5","yellow","ENSG00000180730","SHISA2",FALSE
"ENSG00000159263.16","grey","ENSG00000159263","SIM2",FALSE
"ENSG00000197859.11","blue","ENSG00000197859","ADAMTSL2",FALSE
"ENSG00000224114.1","grey","ENSG00000224114","ENSG00000224114",FALSE
"ENSG00000092377.15","grey","ENSG00000092377","TBL1Y",FALSE
"ENSG00000176728.10","grey","ENSG00000176728","TTTY14",FALSE
"ENSG00000145626.12","blue","ENSG00000145626","UGT3A1",FALSE
"ENSG00000137766.18","blue","ENSG00000137766","UNC13C",FALSE
"ENSG00000140465.15","grey","ENSG00000140465","CYP1A1",FALSE
"ENSG00000204291.11","turquoise","ENSG00000204291","COL15A1",FALSE
"ENSG00000153002.12","white","ENSG00000153002","CPB1",FALSE
"ENSG00000119280.17","brown","ENSG00000119280","C1orf198",FALSE
"ENSG00000182333.15","white","ENSG00000182333","LIPF",FALSE
"ENSG00000169347.17","white","ENSG00000169347","GP2",FALSE
"ENSG00000267423.1","blue","ENSG00000267423","ENSG00000267423",FALSE
"ENSG00000167772.12","black","ENSG00000167772","ANGPTL4",FALSE
"ENSG00000184313.20","blue","ENSG00000184313","MROH7",FALSE
"ENSG00000064300.9","darkgreen","ENSG00000064300","NGFR",TRUE
"ENSG00000119938.9","blue","ENSG00000119938","PPP1R3C",FALSE
"ENSG00000205312.8","darkgreen","ENSG00000205312","KRT17P4",FALSE
