"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000204070.10","red",0.790253146539313,9.74352945490215e-176,-0.30906814668776,1.44939206923103e-19,0.790253146539313,0.30906814668776,19
"ENSG00000108344.15","red",0.786639968241416,4.56147582905554e-173,-0.240520773033502,3.14405981240236e-12,0.786639968241416,0.240520773033502,20
"ENSG00000137309.20","red",0.782798292252025,2.7661692275569e-170,-0.350593495837069,4.55296304775241e-25,0.782798292252025,0.350593495837069,21
"ENSG00000104853.16","red",0.78128735204486,3.31763904098227e-169,-0.222227526387197,1.30428620956438e-10,0.78128735204486,0.222227526387197,22
"ENSG00000131408.15","red",0.776544055711363,7.12439067651296e-166,-0.321688365336486,3.78305382728152e-21,0.776544055711363,0.321688365336486,23
"ENSG00000115233.12","red",0.775019830543248,8.05482296241682e-165,-0.321600842844236,3.88226844534291e-21,0.775019830543248,0.321600842844236,24
"ENSG00000204315.4","red",0.772063147701797,8.42939138891264e-163,-0.266891851310128,8.30340568603761e-15,0.772063147701797,0.266891851310128,25
"ENSG00000198925.12","red",0.770339163084615,1.22866162023238e-161,-0.228270189376807,3.94537279697771e-11,0.770339163084615,0.228270189376807,26
"ENSG00000148300.12","red",0.76924421565004,6.6559104257816e-161,-0.31981316734837,6.57537491059233e-21,0.76924421565004,0.31981316734837,27
"ENSG00000105171.10","red",0.766878697522235,2.48114408241509e-159,-0.27401893961655,1.48303005799788e-15,0.766878697522235,0.27401893961655,28
"ENSG00000085998.15","red",0.766203068069669,6.91923298697973e-159,-0.226992721817358,5.09454069318801e-11,0.766203068069669,0.226992721817358,29
"ENSG00000032444.17","red",0.764242015524225,1.33161464467171e-157,-0.242275878621317,2.16280758829867e-12,0.764242015524225,0.242275878621317,30
"ENSG00000120057.5","darkgreen",0.897182900363627,7.65894427432028e-292,0.0392972651271139,0.261588628655059,0.897182900363627,0.0392972651271139,1
"ENSG00000100146.19","darkgreen",0.889023210723386,4.53360571574452e-279,0.0812405584003521,0.0201348337620289,0.889023210723386,0.0812405584003521,2
"ENSG00000158887.19","darkgreen",0.882290337477363,2.90857457083921e-269,0.011844724962632,0.735166328297706,0.882290337477363,0.011844724962632,3
"ENSG00000184454.7","darkgreen",0.867007338306397,4.53977956151518e-249,-0.0202991878343215,0.562088010538659,0.867007338306397,0.0202991878343215,4
"ENSG00000249743.7","darkgreen",0.863523113123607,8.13232286787847e-245,0.058692258788129,0.0934410462389516,0.863523113123607,0.058692258788129,5
"ENSG00000102385.13","darkgreen",0.860891398382884,1.1102831833942e-241,0.0419701996542037,0.23050079934482,0.860891398382884,0.0419701996542037,6
"ENSG00000163347.6","darkgreen",0.85788371886388,3.55293682404289e-238,0.0812637378893361,0.0200991929821194,0.85788371886388,0.0812637378893361,7
"ENSG00000181409.14","darkgreen",0.84243856759114,2.29152641028519e-221,0.0496944067622748,0.155608043158263,0.84243856759114,0.0496944067622748,8
"ENSG00000145934.16","darkgreen",0.816683094237923,5.08363478380648e-197,0.115142653249722,0.000969943261365227,0.816683094237923,0.115142653249722,9
"ENSG00000164007.11","darkgreen",0.812196733163384,3.58665309388461e-193,-0.00938418591735842,0.788707205764233,0.812196733163384,0.00938418591735842,10
"ENSG00000275620.1","darkgreen",0.811134607350788,2.8226976276005e-192,0.0756351262724113,0.0305405269887265,0.811134607350788,0.0756351262724113,11
"ENSG00000092758.18","darkgreen",0.809603237872446,5.40161609933505e-191,0.066215372078312,0.0583594969170036,0.809603237872446,0.066215372078312,12
"ENSG00000071991.9","darkgreen",0.809411599667837,7.8004234885017e-191,0.0996733087817856,0.00432438556535643,0.809411599667837,0.0996733087817856,13
"ENSG00000108556.10","darkgreen",0.808322586340839,6.246112384248e-190,0.137839559818453,7.64792309569909e-05,0.808322586340839,0.137839559818453,14
"ENSG00000166897.16","darkgreen",0.79793337755603,1.35865490039565e-181,0.0653027446503621,0.0619237909535306,0.79793337755603,0.0653027446503621,15
