"gene","module"
"ENSG00000175262.14","blue"
"ENSG00000071282.12","blue"
"ENSG00000005471.19","blue"
"ENSG00000114737.16","black"
"ENSG00000082293.13","greenyellow"
"ENSG00000169047.6","blue"
"ENSG00000251448.2","brown"
"ENSG00000206561.14","blue"
"ENSG00000181418.8","grey"
"ENSG00000140798.17","blue"
"ENSG00000122756.15","grey60"
"ENSG00000034971.17","turquoise"
"ENSG00000115602.17","black"
"ENSG00000227471.9","brown"
"ENSG00000205215.8","darkgreen"
"ENSG00000122367.21","blue"
"ENSG00000187288.12","green"
"ENSG00000285564.2","blue"
"ENSG00000169436.17","darkgrey"
"ENSG00000091986.16","blue"
"ENSG00000249116.2","grey"
"ENSG00000151632.18","red"
"ENSG00000268240.1","brown"
"ENSG00000127241.18","blue"
"ENSG00000168621.15","grey"
"ENSG00000158022.7","brown"
"ENSG00000286661.1","blue"
"ENSG00000149115.14","brown"
"ENSG00000196465.10","yellow"
"ENSG00000188338.15","blue"
"ENSG00000181092.10","green"
"ENSG00000197616.13","red"
"ENSG00000264424.1","yellow"
"ENSG00000178752.16","greenyellow"
"ENSG00000234281.5","yellow"
"ENSG00000168386.19","blue"
"ENSG00000163492.16","blue"
"ENSG00000091262.17","blue"
"ENSG00000172179.13","white"
"ENSG00000072274.13","yellow"
"ENSG00000280334.1","black"
"ENSG00000131203.13","blue"
"ENSG00000260460.1","black"
"ENSG00000288920.1","grey"
"ENSG00000158008.10","blue"
"ENSG00000006025.12","yellow"
"ENSG00000165269.13","blue"
"ENSG00000168928.13","white"
"ENSG00000150893.11","blue"
"ENSG00000188089.13","blue"
"ENSG00000162383.13","blue"
"ENSG00000260542.1","turquoise"
"ENSG00000173221.14","brown"
"ENSG00000143318.13","yellow"
"ENSG00000253227.2","grey"
"ENSG00000131910.5","blue"
"ENSG00000175264.8","black"
"ENSG00000101825.8","blue"
"ENSG00000188372.15","grey"
"ENSG00000159784.18","blue"
"ENSG00000284650.1","grey60"
"ENSG00000158458.21","brown"
"ENSG00000237541.4","grey"
"ENSG00000206422.3","blue"
"ENSG00000162390.18","blue"
"ENSG00000154415.8","blue"
"ENSG00000111245.17","yellow"
"ENSG00000101306.11","blue"
"ENSG00000070601.10","blue"
"ENSG00000185745.10","blue"
"ENSG00000137077.8","turquoise"
"ENSG00000165312.7","blue"
"ENSG00000124749.17","blue"
"ENSG00000161671.17","turquoise"
"ENSG00000196139.14","red"
"ENSG00000288862.1","blue"
"ENSG00000116717.13","black"
"ENSG00000287970.1","blue"
"ENSG00000238102.3","blue"
"ENSG00000257017.10","white"
"ENSG00000120729.10","blue"
"ENSG00000185915.5","yellow"
"ENSG00000159713.11","blue"
"ENSG00000143632.15","yellow"
"ENSG00000160221.18","grey"
"ENSG00000043039.7","grey"
"ENSG00000150687.12","blue"
"ENSG00000122852.15","skyblue"
"ENSG00000167703.15","brown"
"ENSG00000271952.3","orange"
"ENSG00000166165.14","yellow"
"ENSG00000185070.12","blue"
"ENSG00000170345.10","turquoise"
"ENSG00000196878.15","blue"
"ENSG00000215030.5","grey"
"ENSG00000184557.4","pink"
"ENSG00000158445.10","grey60"
"ENSG00000116652.6","greenyellow"
"ENSG00000138722.10","turquoise"
"ENSG00000273301.1","yellow"
"ENSG00000272899.4","grey"
"ENSG00000030304.15","black"
"ENSG00000211448.14","grey60"
"ENSG00000112619.8","blue"
"ENSG00000160712.13","brown"
"ENSG00000122477.13","blue"
"ENSG00000106302.10","blue"
"ENSG00000248015.7","blue"
"ENSG00000203965.13","greenyellow"
"ENSG00000284747.1","brown"
"ENSG00000214617.9","grey"
"ENSG00000163631.17","white"
"ENSG00000143536.7","skyblue"
"ENSG00000176076.7","darkgreen"
"ENSG00000162998.5","grey"
"ENSG00000159166.15","blue"
"ENSG00000204001.10","turquoise"
"ENSG00000099194.6","green"
"ENSG00000168484.13","skyblue"
"ENSG00000287467.1","greenyellow"
"ENSG00000231013.2","blue"
"ENSG00000134986.14","blue"
"ENSG00000118432.13","brown"
"ENSG00000134463.15","brown"
"ENSG00000196296.14","yellow"
"ENSG00000121440.15","blue"
"ENSG00000197769.6","green"
"ENSG00000173868.12","blue"
"ENSG00000224361.1","grey60"
"ENSG00000111424.12","black"
"ENSG00000070031.4","turquoise"
"ENSG00000188522.15","brown"
"ENSG00000179542.16","grey"
"ENSG00000258733.7","blue"
"ENSG00000272622.2","blue"
"ENSG00000260398.1","blue"
"ENSG00000226085.3","yellow"
"ENSG00000169860.7","blue"
"ENSG00000133069.17","blue"
"ENSG00000180209.12","yellow"
"ENSG00000126803.10","yellow"
"ENSG00000169710.9","black"
"ENSG00000176490.5","grey"
"ENSG00000141622.14","blue"
"ENSG00000158859.10","pink"
"ENSG00000287823.1","blue"
"ENSG00000135074.16","blue"
"ENSG00000229807.13","grey"
"ENSG00000260653.6","red"
"ENSG00000130222.11","brown"
"ENSG00000270210.1","brown"
"ENSG00000087085.16","blue"
"ENSG00000228963.3","yellow"
"ENSG00000205420.11","skyblue"
"ENSG00000139044.12","blue"
"ENSG00000138759.20","blue"
"ENSG00000127533.4","black"
"ENSG00000145423.5","turquoise"
"ENSG00000156804.7","brown"
"ENSG00000167723.15","grey"
"ENSG00000187922.14","brown"
"ENSG00000163399.16","brown"
"ENSG00000279609.1","blue"
"ENSG00000182902.14","brown"
"ENSG00000139269.3","blue"
"ENSG00000173093.13","blue"
"ENSG00000084710.14","blue"
"ENSG00000159167.12","pink"
"ENSG00000124701.6","blue"
"ENSG00000144460.12","yellow"
"ENSG00000081189.16","blue"
"ENSG00000185022.12","grey"
"ENSG00000168530.16","yellow"
"ENSG00000229659.1","blue"
"ENSG00000170577.8","red"
"ENSG00000162688.17","yellow"
"ENSG00000249307.8","green"
"ENSG00000136457.10","orange"
"ENSG00000170153.11","blue"
"ENSG00000068366.21","black"
"ENSG00000237159.6","grey60"
"ENSG00000137801.11","pink"
"ENSG00000165449.12","grey"
"ENSG00000262539.1","grey"
"ENSG00000244025.5","brown"
"ENSG00000116133.13","brown"
"ENSG00000175779.4","steelblue"
"ENSG00000156265.16","blue"
"ENSG00000147872.10","red"
"ENSG00000265158.2","yellow"
"ENSG00000134020.8","blue"
"ENSG00000282033.1","grey"
"ENSG00000187720.15","blue"
"ENSG00000130592.17","turquoise"
"ENSG00000206172.8","midnightblue"
"ENSG00000140470.15","black"
"ENSG00000078804.13","yellow"
"ENSG00000004468.13","yellow"
"ENSG00000171621.14","brown"
"ENSG00000055955.17","blue"
"ENSG00000183625.16","blue"
"ENSG00000224721.2","brown"
"ENSG00000107821.15","blue"
"ENSG00000286733.1","grey60"
"ENSG00000118194.21","turquoise"
"ENSG00000198959.12","black"
"ENSG00000262855.1","blue"
"ENSG00000108932.13","black"
"ENSG00000146477.6","brown"
"ENSG00000246763.7","black"
"ENSG00000185133.14","blue"
"ENSG00000286191.1","turquoise"
"ENSG00000186326.4","blue"
"ENSG00000237949.3","yellow"
"ENSG00000133110.15","green"
"ENSG00000267653.1","brown"
"ENSG00000149294.17","turquoise"
"ENSG00000221866.10","blue"
"ENSG00000185269.12","blue"
"ENSG00000203697.12","blue"
"ENSG00000029534.21","blue"
"ENSG00000103184.12","blue"
"ENSG00000003137.9","turquoise"
"ENSG00000166482.12","turquoise"
"ENSG00000224272.2","grey60"
"ENSG00000118849.10","pink"
"ENSG00000173991.6","blue"
"ENSG00000266094.8","black"
"ENSG00000075223.14","blue"
"ENSG00000081041.9","turquoise"
"ENSG00000143507.18","blue"
"ENSG00000197582.5","grey"
"ENSG00000249464.7","blue"
"ENSG00000107317.13","blue"
"ENSG00000283662.1","blue"
"ENSG00000147166.11","blue"
"ENSG00000065361.17","turquoise"
"ENSG00000185352.9","black"
"ENSG00000155659.15","cyan"
"ENSG00000179954.16","turquoise"
"ENSG00000150347.17","brown"
"ENSG00000164900.5","blue"
"ENSG00000187193.9","brown"
"ENSG00000140416.23","yellow"
"ENSG00000185669.6","blue"
"ENSG00000149573.9","pink"
"ENSG00000152689.18","blue"
"ENSG00000198771.11","blue"
"ENSG00000150907.10","brown"
"ENSG00000089250.20","yellow"
"ENSG00000127324.9","grey"
"ENSG00000273812.3","blue"
"ENSG00000196482.18","blue"
"ENSG00000284391.1","blue"
"ENSG00000168329.14","blue"
"ENSG00000188517.17","pink"
"ENSG00000164089.9","grey"
"ENSG00000224769.1","grey"
"ENSG00000236397.3","grey"
"ENSG00000159495.8","grey60"
"ENSG00000062524.16","greenyellow"
"ENSG00000108381.11","blue"
"ENSG00000237686.8","blue"
"ENSG00000186481.16","blue"
"ENSG00000148965.10","black"
"ENSG00000153234.15","turquoise"
"ENSG00000163661.4","pink"
"ENSG00000179388.9","lightcyan"
"ENSG00000184220.12","brown"
"ENSG00000214872.9","yellow"
"ENSG00000176919.13","turquoise"
"ENSG00000248713.2","yellow"
"ENSG00000133816.18","brown"
"ENSG00000106809.11","turquoise"
"ENSG00000073711.11","blue"
"ENSG00000185303.17","skyblue"
"ENSG00000168874.13","brown"
"ENSG00000135469.14","yellow"
"ENSG00000160097.20","yellow"
"ENSG00000266524.3","blue"
"ENSG00000124491.16","cyan"
"ENSG00000264490.3","blue"
"ENSG00000131080.15","turquoise"
"ENSG00000134686.20","brown"
"ENSG00000154127.10","grey60"
"ENSG00000164692.19","turquoise"
"ENSG00000198074.10","grey60"
"ENSG00000105516.11","blue"
